cnpj_coop,nome_coop,naturezaJuridica,classe,situacao,regimeEspecial,logradouro,complemento,bairro,municipio,uf,cep,endereco_eletronico,email,segmento_prudencial,filiacao
81367880,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SUL CATARINENSE - SICOOB CREDISULCA SC,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA RUI BARBOSA  1150,,CENTRO,TURVO,SC,88930000,credisulca.turvo@credisulca.coop.br,credisulca.turvo@credisulca.coop.br,S5,
2587492,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS URUBICI - SICOOB CREDIARAUCÁRIA/SC,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  ADOLFO KONDER  2580,,ESQUINA,URUBICI,SC,88650000,crediaraucaria@crediaraucaria.coop.br,crediaraucaria@crediaraucaria.coop.br,S5,
2090126,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO CHAPECOZINHO - SICOOB VALCREDI SUL,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA PE  JOAO BOTERO  713,,CENTRO,PASSOS MAIA,SC,89687000,valcredi@valcredi.coop.br,valcredi@valcredi.coop.br,S5,
78865995,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO RIO DO PEIXE - SICOOB CREDIRIO SC,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA GETULIO VARGAS 331,ANEXO GALERIA TREVISAN,CENTRO,JOACABA,SC,89600000,credirio@sicoobjba.com.br,credirio@sicoobjba.com.br,S5,
1760242,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BELO HORIZONTE E CIDADES POLO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB NOSSACOOP,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA ARTUR ITABIRANO  251,SALAS 202 A 207  301 A 307  402  501 E 502,SAO JOSE,BELO HORIZONTE,MG,31275020,nossacoop@nossacoop.com.br,nossacoop@nossacoop.com.br,S5,
869687,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BOA ESPERANÇA LTDA. - SICOOB BELCREDI,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA JOAO JULIO DE FARIA,135,CENTRO,BOA ESPERANCA,MG,37170000,boaespera309800@sicoobcrediminas.com.br,boaespera309800@sicoobcrediminas.com.br,S5,
71146450,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CAMPOS GERAIS E CAMPO DO MEIO LTDA - SICOOB CREDCAM,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA DOM INOCENCIO ENGELK,722,CENTRO,CAMPOS GERAIS,MG,37160000,cgerais310400@sicoobcrediminas.com.br,cgerais310400@sicoobcrediminas.com.br,S5,
25743311,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CARMO DO RIO CLARO LTDA - SICOOB CREDICARMO,Sociedade Cooperativa,,Autorizada em Atividade,false,PRAcA DONA MARIA GOULART,N  225,CENTRO,CARMO DO RIO CLARO,MG,37150000,credicarmo@sicoobcredicarmo.com.br,credicarmo@sicoobcredicarmo.com.br,S5,
9576849,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CERES E RIALMA LTDA,Sociedade Cooperativa,,Autorizada em Atividade,false,"AV. BRASIL, N- 703B, QD 18B, LT18B",,CENTRO,CERES,GO,76300000,credicer@sicoobcredicer.com.br,credicer@sicoobcredicer.com.br,S5,
4079285,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ITAJUBÁ LTDA - SICOOB SUDESTE MAIS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA PRESIDENTE ROOSEVELT  N  27,,MORRO CHIC,ITAJUBA,MG,37500070,coopsul@joka-online.com.br,coopsul@joka-online.com.br,S5,
66463407,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ITAÚNA E REGIÃO LTDA - SICOOB CENTRO-OESTE,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA CAPITAO VICENTE  129,,CENTRO,ITAUNA,MG,35680056,sicoobcentrooeste@sicoobcentrooeste.com.br,sicoobcentrooeste@sicoobcentrooeste.com.br,S5,
10143499,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE JATAÍ E REGIÃO LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA JOAO ROSA SOARES  N  78,QUADRA  AREA  LOTE  002C,CENTRO,JATAI,GO,75800060,cooprem@sicoobcooprem.com.br,cooprem@sicoobcooprem.com.br,S5,
37631058,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PALMEIRAS E REGIÃO LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA QUEROBINO GOMES LEÃO,"QUADRA 03, LOTE 14",SÃO JOSÉ,PALMEIRAS DE GOIAS,GO,76190000,credipalmeiras@sicoobgoias.com.br,credipalmeiras@sicoobgoias.com.br,S5,
71441406,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PEDRO LEOPOLDO LTDA - SICOOB CREDIPEL,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA COMENDADOR ANTONIO ALVES,825,CENTRO,PEDRO LEOPOLDO,MG,33250033,pedroleo315700@sicoobcrediminas.com.br,pedroleo315700@sicoobcrediminas.com.br,S5,
3732359,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PERNAMBUCO - SICOOB PERNAMBUCO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA GOVERNADOR WALFREDO SIQUEIRA  17,,CENTRO,SAO JOSE DO EGITO,PE,56700000,credipajeu-pe@sicoobne.com.br,credipajeu-pe@sicoobne.com.br,S5,
5222094,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PIRACANJUBA LTDA. - SICOOB CERRADO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA DOM PEDRO II LT06 QD24 N 851,,CENTRO,PIRACANJUBA,GO,75640000,sicoobgoiascoapil@gmail.com,sicoobgoiascoapil@gmail.com,S5,
41931221,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PITANGUI, PAPAGAIOS, MARAVILHAS E REGIÃO LTDA. - SICOOB CREDICOOP",Sociedade Cooperativa,,Autorizada em Atividade,false,RUA LACERDINO ROCHA,167,CENTRO,PITANGUI,MG,35650000,pitangui315900@sicoobcrediminas.com.br,pitangui315900@sicoobcrediminas.com.br,S5,
9033698,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RIO VERDE E REGIÃO LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA COSTA GOMES  QUADRA R  LOTE B  SALA 21,CENTRO EMPRESARIAL LE MONDE,JARDIM MARCONAL,RIO VERDE,GO,75901550,empresarial@sicoobempresarial.com.br,empresarial@sicoobempresarial.com.br,S5,
2137018,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RORAIMA LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  NOSSA SENHORA DA CONSOLATA  2001,,CENTRO,BOA VISTA,RR,69301011,gerencia@unicredboavista.com.br,gerencia@unicredboavista.com.br,S5,
6910457,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA CORONEL PENTEADO  427,,CENTRO,SANTA CRUZ DAS PALMEIRAS,SP,13650000,gerencia@credicucar.com.br,gerencia@credicucar.com.br,S5,
41707258,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTO ANTÔNIO DO MONTE LTDA.   SICOOB CREDIMONTE,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA CORONEL AMANCIO BERNARDES,371,CENTRO,SANTO ANTONIO DO MONTE,MG,35560000,samonte316600@sicoobcrediminas.com.br,samonte316600@sicoobcrediminas.com.br,S5,
66402207,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SÃO ROQUE DE MINAS LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA 15 DE NOVEMBRO  31,,CENTRO,SAO ROQUE DE MINAS,MG,37928000,saoroque317100@sicoobcrediminas.com.br,saoroque317100@sicoobcrediminas.com.br,S5,
2833202,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE VITÓRIA DA CONQUISTA,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  OTAVIO SANTOS  147,,CENTRO,VITORIA DA CONQUISTA,BA,45020750,ucmg0025@unicredmg.com.br,ucmg0025@unicredmg.com.br,S5,
4649337,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DFMIL LTDA. - SICOOB DFMIL,Sociedade Cooperativa,,Autorizada em Atividade,false,C 01 LOTE 09 10 LOJA 04 TAGUATINGA CENTRO,TERREO ALA B,TAGUATINGA,BRASILIA,DF,72010010,credimfa@credimfa.coop.br,credimfa@credimfa.coop.br,S5,
41805003,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO SÃO FRANCISCO LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA MIGUEL COUTO 351,,CENTRO,PIUMHI,MG,37925000,credialto@credialto.com.br,credialto@credialto.com.br,S5,
16779741,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA 3 DE MAIO N 259,,CENTRO,IBIRAMA,SC,89140000,,,S5,
694877,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO BRASIL CENTRAL LTDA. - SICOOB EXECUTIVO,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA W3 SUL,QSCRS 509  BLOCO C  LOTES 3 E 4  LOJAS 65  66  67,ASA NORTE,BRASILIA,DF,70360530,sicoobexecutivo@sicoobexecutivo.com.br,sicoobexecutivo@sicoobexecutivo.com.br,S5,
2282709,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE BRASILEIRO,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  SANTOS DUMONT,N  235  QUADRA 03 LOTE 36A,JUNDIAI,ANAPOLIS,GO,75113180,cngo.correio@unicredsys.com.br,cngo.correio@unicredsys.com.br,S5,
3326437,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB UNIÃO MT/MS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA J  N  6,RESIDENCIAL CONCADORO,ARAES,CUIABA,MT,78005810,credijud@terra.com.br,credijud@terra.com.br,S5,
10319386,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL DE MATO GROSSO DO SUL - SICOOB CENTRO SUL MS,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA MARCELINO PIRES 3130,,VILA HELENA,DOURADOS,MS,79801004,luciene.ribeiro@sicoobdourados.coop.br,luciene.ribeiro@sicoobdourados.coop.br,S5,
2015588,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  PRESIDENTE KENNEDY  775,,CENTRO,PIMENTA BUENO,RO,76970000,pedrinho@credip.com.br,pedrinho@credip.com.br,S5,
33579731,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO-SUL GOIANO LTDA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA PARÁ N- 400,CENTRO,CENTRO,MORRINHOS,GO,75650000,sicoobcentrosul@sicoobcentrosul.com.br,sicoobcentrosul@sicoobcentrosul.com.br,S5,
3941182,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CIRCUITO DAS ÁGUAS - SICOOB CIRCUITO DAS ÁGUAS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA SAO PAULO  5,,CENTRO,AGUAS DE LINDOIA,SP,13940000,montesiao431000@sicoobcrediminas.com.br,montesiao431000@sicoobcrediminas.com.br,S5,
4406371,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE GOIÁS,Sociedade Cooperativa,,Autorizada em Atividade,false,"AVENIDA DEPUTADO JAMEL CECÍLIO, N- 3.527","QUADRA C-9, LOTE 10, 5- E 6- ANDAR,",JARDIM GOIÁS,GOIANIA,GO,74810100,sicoob@lojicred.com.br,sicoob@lojicred.com.br,S5,
10262276,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA JOAQUIM CONSTANTINO  N  2 161  4  ANDAR,,VILA NOVA PRUDENTE,PRESIDENTE PRUDENTE,SP,19053300,ajbs@sicoobop.com.br,ajbs@sicoobop.com.br,S5,
1608685,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO ACRE LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA QUINTINO BOCAIUVA  N 1818,,BOSQUE,RIO BRANCO,AC,69900670,gerencia@unicredriobranco.brte.com.br,gerencia@unicredriobranco.brte.com.br,S5,
83836114,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO PARÁ - SICOOB COOESA,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  GENERALISSIMO DEODORO  391,,UMARIZAL,BELEM,PA,66050160,cooesa@cooesa.coop.br,cooesa@cooesa.coop.br,S5,
2931668,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO RIO DE JANEIRO - SICOOB FLUMINENSE,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA DOUTOR SIQUEIRA, 278",PARTE,PARQUE DOM BOSCO,CAMPOS DOS GOYTACAZES,RJ,28030130,credrionorte@credrionorte.com.br,credrionorte@credrionorte.com.br,S5,
5241619,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA SAO JOAO  306,,CENTRO,PRIMAVERA DO LESTE,MT,78850000,sicoobprimavera@terra.com.br,sicoobprimavera@terra.com.br,S5,
1644264,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA E DO CIRCUITO DO OURO LTDA. - SICOOB CREDIMEPI,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA PEDRO BICALHO  70,,NOVO HORIZONTE,JOAO MONLEVADE,MG,35930072,wanda@credimepi.coop.br,wanda@credimepi.coop.br,S5,
71154876,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NOROESTE DE MINAS GERAIS LTDA.   SICOOB CREDIPINHO,Sociedade Cooperativa,,Autorizada em Atividade,false,PCA  CORONEL HERMOGENES  261,,CENTRO,JOAO PINHEIRO,MG,38770000,jpinheiro313500@sicoobcrediminas.com.br,jpinheiro313500@sicoobcrediminas.com.br,S5,
23623636,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DE MATO GROSSO - SICOOB NORTE MT,Sociedade Cooperativa,,Autorizada em Atividade,false,"AVENIDA DAS ITAÚBAS, 3779","QUADRA N- 79, LOTE N- 09 E 13",SETOR COMERCIAL,SINOP,MT,78550170,,,S5,
9424988,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA SAO LUIS 134,,CENTRO,ACAILANDIA,MA,65930000,credima-ma@sicoobne.com.br,credima-ma@sicoobne.com.br,S5,
71297899,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MINEIRO LTDA. - SICOOB CREDICOPA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA OLEGARIO MACIEL 443,ANDAR TERREO E 1,CENTRO,PATOS DE MINAS,MG,38700122,credicopa@credicopa.com.br,credicopa@credicopa.com.br,S5,
26178533,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO PONTAL DO TRIANGULO LTDA - SICOOB CREDIPONTAL,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA TRINTA E SEIS,800,PROGRESSO,ITUIUTABA,MG,38302008,ituiutaba313300@sicoobcrediminas.com.br,ituiutaba313300@sicoobcrediminas.com.br,S5,
1667352,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SERTÃO DE MINAS GERAIS LTDA. - SICOOB SERTÃO MINAS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA ANTONIO NASCIMENTO  179,LOJA,CENTRO,PIRAPORA,MG,39270000,sicoob@sicoobsertaominas.com.br,sicoob@sicoobsertaominas.com.br,S5,
24795049,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO,Sociedade Cooperativa,,Autorizada em Atividade,false,AV PRESIDENTE VARGAS 1881,,JARDIM GOIAS,RIO VERDE,GO,75903290,credirural@credirural.coop.br,credirural@credirural.coop.br,S5,
3427097,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL CATARINENSE - ACENTRA,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA GENERAL OSVALDO PINTO DA VEIGA, 557",,PROSPERA,CRICIUMA,SC,88813000,cecrisacred@cecrisacred.coop.br,cecrisacred@cecrisacred.coop.br,S5,
26960328,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO TOCANTINS LTDA,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA BERNARDO SAYÃO,"N- 467, QD 12, LT 05 E PARTE DO LOTE 04",CENTRO,PARAISO DO TOCANTINS,TO,77600000,credipar@sicoobcredipar.com.br,credipar@sicoobcredipar.com.br,S5,
86829827,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE - SICOOB CREDIVALE/SC,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA NEREU RAMOS  N  850,,CENTRO,BRACO DO NORTE,SC,88750000,credivale@credivale.coop.br,credivale@credivale.coop.br,S5,
24830879,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO ARAGUAIA LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,SEGUNDA AVENIDA N  50,QUADRA 57 LOTE 25,CENTRO,MINEIROS,GO,75830082,mineiros@sicoobmineiros.com.br,mineiros@sicoobmineiros.com.br,S5,
24799033,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAÍBA LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  JOAQUIM TIMOTEO DE PAULA  145,CENTRO,CENTRO,QUIRINOPOLIS,GO,75860000,agrorural@sicoobagrorural.com.br,agrorural@sicoobagrorural.com.br,S5,
1637949,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAPANEMA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA REVERENDO CORIOLANO  2004,,VILA OCIDENTAL,PRESIDENTE PRUDENTE,SP,19015070,credivale@credivale.org.br,credivale@credivale.org.br,S5,
25683475,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO RIO GRANDE LTDA. - SICOOB UBERABA,Sociedade Cooperativa,,Autorizada em Atividade,false,R CORONEL ANTONIO RIOS,509,SANTA MARTA,UBERABA,MG,38061150,uberaba317800@sicoobcrediminas.com.br,uberaba317800@sicoobcrediminas.com.br,S5,
2480577,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO E DOS ADVOGADOS LTDA. - SICOOB CREDIJUR,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA 101,N   188  QD 17 A   LT  04,SETOR SUL,GOIANIA,GO,74080150,secretaria@credijur.com.br,secretaria@credijur.com.br,S5,
7789195,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO E DOS TRANSPORTADORES RODOVIÁRIOS DE VEÍCULOS - SICOOB CREDCEG,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA DOS FELTRINS  1401,,DEMARCHI,SAO BERNARDO DO CAMPO,SP,09820280,elaine@credceg.com.br,elaine@credceg.com.br,S5,
37079720,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LTDA. - SICOOB CREDIJUSTRA,Sociedade Cooperativa,,Autorizada em Atividade,false,SCS QUADRA 02  BLOCO D  ED OSCAR NIEMEYER,SALAS 401 A 408,SETOR COMERCIAL SUL,BRASILIA,DF,70316900,credijustra@credijustra.com.br,credijustra@credijustra.com.br,S5,
7026923,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB ARENITO,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  PADRE JOSE GERMANO NETO JUNIOR  3382,,ZONA VI,UMUARAMA,PR,87503650,sicoobarenito@adsturbo.com.br,sicoobarenito@adsturbo.com.br,S5,
25363615,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB COOPJUS LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA GETULIO VARGAS 258,6  ANDAR,FUNCIONARIOS,BELO HORIZONTE,MG,30112020,coopjus@coopjus.com,coopjus@coopjus.com,S5,
8795285,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB CREDIACIL,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA JOAO PESSOA  539,,CENTRO,LEME,SP,13610110,sicoob.crediacil@gmail.com,sicoob.crediacil@gmail.com,S5,
7946216,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIÃO SUDESTE,Sociedade Cooperativa,,Autorizada em Atividade,false,AV D  PEDRO II  394,,JARDIM,SANTO ANDRE,SP,09080000,gerencia@crediacisa.com.br,gerencia@crediacisa.com.br,S5,
1259518,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIMAIS CENTRO LESTE PAULISTA - SICOOB UNIMAIS CENTRO LESTE PAULISTA,Sociedade Cooperativa,,Autorizada em Atividade,false,AV 09 N 783,,CENTRO,RIO CLARO,SP,13500360,fernando@unicredrioclaro.com.br,fernando@unicredrioclaro.com.br,S5,
26526166,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL MARANHENSE - SICOOB SUL MARANHENSE,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA NEMEZIA SANTIAGO PEREIRA  165,,FATIMA,BALSAS,MA,65800000,,,S5,
4876393,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO TRÊS FRONTEIRAS - SICOOB TRÊS FRONTEIRAS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA PADRE MONTOYA  490,1   ANDAR,CENTRO,FOZ DO IGUACU,PR,85851040,credioeste@credioeste.com.br,credioeste@credioeste.com.br,S5,
1703620,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO DO CENTRO OESTE DE MINAS LTDA - SICOOB CREDESP,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA FAUSTINO TEIXEIRA 60,,CENTRO,BOM DESPACHO,MG,35630040,contabilidade@credesp.coop.br,contabilidade@credesp.coop.br,S5,
8742188,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO E NEGÓCIOS - SICOOB INTEGRAÇÃO,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA CARMINDO DE CAMPOS  N  727,PISO SUPERIOR   UAD,JARDIM CALIFORNIA,CUIABA,MT,78070395,sicoobintegracao@sicoobmtms.coop.br,sicoobintegracao@sicoobmtms.coop.br,S5,
41669227,COOPERATIVA DE CRÉDITO DE PRODUTORES RURAIS E DE LIVRE ADMISSÃO DO TRIÂNGULO LTDA    SICOOB CREDITRIL,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  MARCIANO DE AVILA  1066,,BOM JESUS,UBERLANDIA,MG,38400752,sicoobcreditril@sicoobcreditril.com.br,sicoobcreditril@sicoobcreditril.com.br,S5,
2448839,COOPERATIVA DE CRÉDITO DE RIO RUFINO - SICOOB CREDIUNIÃO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA JOSE SERAFIM DOS SANTOS  54,CASA,CENTRO,RIO RUFINO,SC,88658000,credirf@twc.com.br,credirf@twc.com.br,S5,
1374196,COOPERATIVA DE CRÉDITO DE SÃO FRANCISCO DE SALES LTDA. - SICOOB CREDISALES,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA 06,2714,CENTRO,SAO FRANCISCO DE SALES,MG,38260000,sfsales316700@sicoobcrediminas.com.br,sfsales316700@sicoobcrediminas.com.br,S5,
10548608,COOPERATIVA DE CRÉDITO DE SERVIDORES DA UESC - UESCOOP,Sociedade Cooperativa,,Autorizada em Atividade,false,RODOVIA ILHEUS ITABUNA  KM 16,CAMPUS DA UNIVERSIDADE ESTADUAL DE SANTA CRUZ,SALOBRINHO,ILHEUS,BA,45662900,uescoop@uesc.br,uescoop@uesc.br,S5,
42880617,COOPERATIVA DE CRÉDITO DE TIROS E MATUTINA LTDA.- SICOOB CREDITIROS,Sociedade Cooperativa,,Autorizada em Atividade,false,PRACA SANTO ANTONIO,16,CENTRO,TIROS,MG,38880000,tiros317600@sicoobcrediminas.com.br,tiros317600@sicoobcrediminas.com.br,S5,
71238232,COOPERATIVA DE CRÉDITO DO CENTRO SUL MINEIRO LTDA. - SICOOB CENTRO SUL MINEIRO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA LUIS ALVES,134,CENTRO,CARMOPOLIS DE MINAS,MG,35534000,carmominas310900@sicoobcrediminas.com.br,carmominas310900@sicoobcrediminas.com.br,S5,
1187961,COOPERATIVA DE CRÉDITO DO DISTRITO FEDERAL E ENTORNO LTDA,Sociedade Cooperativa,,Autorizada em Atividade,false,Q SIA QUADRA 04 BLOCO C LOJA 36,,SIA,BRASILIA,DF,71200045,credibrasilia@credibrasilia.com.br,credibrasilia@credibrasilia.com.br,S5,
3461243,COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA ALEXANDRE DOHLER, N. 277",TÉRREO,CENTRO,JOINVILLE,SC,89201260,creditextil@creditextil.coop.br,creditextil@creditextil.coop.br,S5,
81011686,COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE E SUL PARANAENSE - SICOOB CREDINORTE,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  FREDERICO HEYSE  356,,CENTRO I BAIXADA,MAFRA,SC,89300000,credinorte@credinorte.com.br,credinorte@credinorte.com.br,S5,
698609,COOPERATIVA DE CRÉDITO DO NORTE E NOROESTE DE MINAS GERAIS LTDA. - SICOOB CREDIGERAIS,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA DEPUTADO QUINTINO VARGAS  434,,CENTRO,PARACATU,MG,38600212,crediparnor@crediparnor.com.br,crediparnor@crediparnor.com.br,S5,
4138455,COOPERATIVA DE CRÉDITO DO RIO GRANDE DO NORTE - SICOOB RIO GRANDE DO NORTE,Sociedade Cooperativa,,Autorizada em Atividade,false,AV SENADOR SALGADO FILHO  N- 3000,BLOCO REITORIA,LAGOA NOVA,NATAL,RN,59078900,credsuper@digi.com.br,credsuper@digi.com.br,S5,
